1,1,叶う,超繁盛,100点
2,1,叶う,繁盛,志望校合格
3,1,叶う,繁盛,100点取れる
4,1,叶う,繁盛,絶好調
5,1,叶う,繁盛,完璧
6,2,叶うかも,繁盛,絶好調
7,2,叶うかも,繁盛,90点取れる
8,2,叶うかも,繁盛,できる！
9,2,叶うかも,まあ繁盛,スラスラ解ける
10,2,叶うかも,繁盛,好調
11,2,叶うかも,まあまあ繁盛,95点取れる
12,2,叶うかも,繁盛,頭の回転が速くなる
13,2,叶うかも,繁盛,良いです
14,3,叶いそう,普通,悪くはない
15,3,叶いそう,普通,普通
16,3,叶いそう,普通,平均点取れる
17,3,叶いそう,ちょっと良い,頑張れ～
18,3,叶いそう,普通,やればできる
19,3,叶いそう,普通,良いです
20,3,叶いそう,普通,頑張れ～
21,3,叶いそう,普通,できるできる
22,3,叶いそう,普通,この調子
23,3,叶いそう,ちょっと良い,やればできる
24,3,叶いそう,普通,もう少し
25,4,叶うかな～,普通,普通
26,4,叶うかな～,普通,ケアレスミスしそう
27,4,叶うかな～,普通,気をつけて
28,4,叶うかな～,普通,まあ大丈夫
29,4,叶うかな～,普通,やればできる
30,4,叶うかな～,普通,できる
31,4,叶うかな～,ちょっと良い,もう少し
32,4,叶うかな～,普通,頑張れ～
33,4,叶うかな～,普通,そこそこ
34,4,叶うかな～,普通,まあまあ
35,4,叶うかな～,普通,頑張り次第
36,5,叶わないかも,危ない,ヤバめ
37,5,叶わないかも,普通,もっと頑張れ
38,5,叶わないかも,普通,できるはず
39,5,叶わないかも,普通,勉強しなさい
40,5,叶わないかも,普通,やればできる
41,5,叶わないかも,危ない,大変だ！
42,5,叶わないかも,危ない,ダメです
43,5,叶わないかも,危険,ダメです
44,5,叶わないかも,危険,大変だ
45,5,叶わないかも,危険,良くない！
46,5,叶わない,倒産,志望校全落
47,6,叶わない,超危険,赤点
48,6,叶わない,倒産,0点取る
49,6,叶わない,超危険,最悪
50,6,叶わない,倒産,最悪
